"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"170"	"GO:0006355"	"regulation of transcription, DNA-templat..."	100502	7	1.38	"7.9e-05"
"171"	"GO:1903506"	"regulation of nucleic acid-templated tra..."	101815	7	1.4	"8.6e-05"
"172"	"GO:2001141"	"regulation of RNA biosynthetic process"	102019	7	1.4	"8.7e-05"
"173"	"GO:0048518"	"positive regulation of biological proces..."	102508	7	1.41	"9.0e-05"
"174"	"GO:0006351"	"transcription, DNA-templated"	109073	7	1.5	"0.00014"
"175"	"GO:0051252"	"regulation of RNA metabolic process"	109284	7	1.5	"0.00014"
"176"	"GO:2000112"	"regulation of cellular macromolecule bio..."	109597	7	1.51	"0.00014"
"177"	"GO:0097659"	"nucleic acid-templated transcription"	110334	7	1.52	"0.00015"
"178"	"GO:0032774"	"RNA biosynthetic process"	110676	7	1.52	"0.00015"
"179"	"GO:0010556"	"regulation of macromolecule biosynthetic..."	111619	7	1.54	"0.00016"
"180"	"GO:0031326"	"regulation of cellular biosynthetic proc..."	112935	7	1.56	"0.00017"
"181"	"GO:0009889"	"regulation of biosynthetic process"	113740	7	1.57	"0.00018"
"182"	"GO:0019219"	"regulation of nucleobase-containing comp..."	113921	7	1.57	"0.00018"
"183"	"GO:0034654"	"nucleobase-containing compound biosynthe..."	122012	7	1.68	"0.00028"
"184"	"GO:0007165"	"signal transduction"	123031	7	1.69	"0.00030"
"185"	"GO:0010468"	"regulation of gene expression"	123156	7	1.7	"0.00030"
"186"	"GO:0019438"	"aromatic compound biosynthetic process"	123253	7	1.7	"0.00030"
"187"	"GO:0018130"	"heterocycle biosynthetic process"	123733	7	1.7	"0.00031"
"188"	"GO:1901362"	"organic cyclic compound biosynthetic pro..."	124652	7	1.72	"0.00032"
"189"	"GO:0023052"	"signaling"	131403	7	1.81	"0.00046"
"190"	"GO:0016043"	"cellular component organization"	131674	7	1.81	"0.00046"
"191"	"GO:0007154"	"cell communication"	132134	7	1.82	"0.00047"
"192"	"GO:0071840"	"cellular component organization or bioge..."	135363	7	1.86	"0.00055"
"193"	"GO:0051171"	"regulation of nitrogen compound metaboli..."	145846	7	2.01	"0.00089"
"194"	"GO:0080090"	"regulation of primary metabolic process"	147797	7	2.04	"0.00097"
"195"	"GO:0016070"	"RNA metabolic process"	148356	7	2.04	"0.00099"
"196"	"GO:0031323"	"regulation of cellular metabolic process"	150440	7	2.07	"0.00108"
"197"	"GO:0051716"	"cellular response to stimulus"	152389	7	2.1	"0.00117"
"198"	"GO:0060255"	"regulation of macromolecule metabolic pr..."	152949	7	2.11	"0.00120"
"199"	"GO:0034645"	"cellular macromolecule biosynthetic proc..."	156535	7	2.16	"0.00139"
"200"	"GO:0009059"	"macromolecule biosynthetic process"	158570	7	2.18	"0.00151"
"201"	"GO:0044271"	"cellular nitrogen compound biosynthetic ..."	159152	7	2.19	"0.00154"
"202"	"GO:0019222"	"regulation of metabolic process"	160225	7	2.21	"0.00161"
"203"	"GO:0090304"	"nucleic acid metabolic process"	166957	7	2.3	"0.00208"
"204"	"GO:0044249"	"cellular biosynthetic process"	176465	7	2.43	"0.00294"
"205"	"GO:1901576"	"organic substance biosynthetic process"	178095	7	2.45	"0.00311"
"206"	"GO:0050896"	"response to stimulus"	178212	7	2.45	"0.00313"
"207"	"GO:0009058"	"biosynthetic process"	179814	7	2.48	"0.00330"
"208"	"GO:0006139"	"nucleobase-containing compound metabolic..."	182157	7	2.51	"0.00358"
"209"	"GO:0010467"	"gene expression"	183781	7	2.53	"0.00378"
"210"	"GO:0046483"	"heterocycle metabolic process"	184187	7	2.54	"0.00383"
"211"	"GO:0006725"	"cellular aromatic compound metabolic pro..."	184579	7	2.54	"0.00388"
"212"	"GO:1901360"	"organic cyclic compound metabolic proces..."	186433	7	2.57	"0.00413"
"213"	"GO:0048522"	"positive regulation of cellular process"	89949	5	1.24	"0.00428"
